id,product,review,rating,category
"1,Laptop Pro 15,""This laptop is absolutely amazing! The performance is incredible and battery life exceeds expectations."",5,electronics"
"2,Wireless Mouse,""The mouse is comfortable but the battery drains way too quickly. Disappointed."",2,electronics"
"3,Coffee Maker Deluxe,""Best coffee maker I have ever owned. Makes perfect coffee every single time!"",5,appliances"
"4,Running Shoes Ultra,""These shoes are very comfortable for long distance running. Great cushioning."",4,sports"
"5,Smartphone X12,""The phone has excellent camera quality but the price is ridiculously high."",3,electronics"
"6,Ergonomic Desk Chair,""Good design but assembly instructions were confusing and unclear."",3,furniture"
"7,Noise Cancelling Headphones,""Amazing sound quality! The noise cancellation works perfectly in any environment."",5,electronics"
"8,Professional Blender,""Not worth the money at all. Broke after only two weeks of regular use."",1,appliances"
"9,Premium Yoga Mat,""Great quality mat with excellent grip. Perfect for my daily yoga practice."",5,sports"
"10,Compact Tablet,""Screen is too small and battery life is very disappointing. Not recommended."",2,electronics"